,Class,FX_u,FX_s,FX_m,FX_h,umag,gmag,rmag,zmag,Jmag,Hmag,Kmag,W1mag,W2mag,W3mag,3.6mag,4.5mag,5.8mag,8.0mag,Bmag,imag
79,AGN,8.39e-16,1.5e-15,4.33e-15,9.89e-14,9999999.0,9999999.0,17.0,9999999.0,16.937,15.924,14.914,13.031,10.85,7.601,9999999.0,9999999.0,9999999.0,9999999.0,18.39,17.31
80,AGN,1.65e-14,2.28e-14,2.08e-14,4.3e-14,9999999.0,9999999.0,18.01,9999999.0,9999999.0,9999999.0,9999999.0,14.953,13.579,10.7,9999999.0,9999999.0,9999999.0,9999999.0,18.81,18.69
81,AGN,4.98e-15,8.56e-15,9.72e-15,9.35e-15,9999999.0,9999999.0,16.62,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,16.9,16.77
82,AGN,3.82e-16,2.62e-15,3.27e-15,7.98e-15,20.366,20.139,20.051,19.712,9999999.0,9999999.0,9999999.0,16.754,15.367,12.115,9999999.0,9999999.0,9999999.0,9999999.0,20.3,19.698
83,AGN,5e-13,7.26e-13,7.15e-13,9.86e-13,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0
84,AGN,4.48e-15,6.91e-15,9.44e-15,1.88e-14,9999999.0,9999999.0,18.97,9999999.0,9999999.0,9999999.0,9999999.0,15.485,15.028,12.438,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,18.21
85,AGN,9.97e-15,4.72e-15,4.36e-15,1.61e-14,18.383,18.083,18.116,18.034,9999999.0,9999999.0,9999999.0,14.085,12.852,9.986,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,17.95
86,AGN,7.41e-16,1.77e-15,5.73e-15,2.47e-14,18.027,17.698,17.495,17.109,16.383,15.643,15.156,14.269,13.058,9.542,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,17.366
87,AGN,1.85e-14,2.28e-14,2.87e-14,7.03e-14,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0
88,AGN,9.89e-15,1.42e-14,1.5e-14,3.52e-14,20.887,21.028,20.606,20.588,9999999.0,9999999.0,9999999.0,16.613,15.514,11.902,9999999.0,9999999.0,9999999.0,9999999.0,19.72,20.603
89,AGN,7.96e-14,8.15e-14,7.54e-14,1.63e-13,18.337,17.977,17.978,17.924,9999999.0,9999999.0,9999999.0,14.331,13.251,10.577,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,18.072
90,AGN,4.64e-15,8.35e-15,7.49e-15,1.07e-14,19.224,19.279,19.283,18.885,9999999.0,9999999.0,9999999.0,16.626,15.767,11.995,9999999.0,9999999.0,9999999.0,9999999.0,19.2,19.109
91,AGN,6.52e-14,9.38e-14,1.28e-13,2.58e-13,18.444,18.145,18.162,17.672,16.462,15.877,14.934,13.721,12.657,10.015,9999999.0,9999999.0,9999999.0,9999999.0,17.97,17.901
92,AGN,3.18e-14,5.59e-14,6.06e-14,9.89e-14,20.3,19.865,19.93,19.357,9999999.0,9999999.0,9999999.0,15.43,14.406,11.452,9999999.0,9999999.0,9999999.0,9999999.0,18.5,19.616
93,AGN,1.01e-14,2.45e-14,3.62e-14,8.13e-14,21.049,20.872,20.595,19.904,9999999.0,9999999.0,9999999.0,15.414,14.456,11.891,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,20.452
94,AGN,1.94e-15,2.33e-15,4.43e-15,7.27e-15,9999999.0,9999999.0,19.6,9999999.0,9999999.0,9999999.0,9999999.0,16.828,15.612,12.356,9999999.0,9999999.0,9999999.0,9999999.0,19.2,9999999.0
95,AGN,6.19e-15,6.4e-15,7.96e-15,7.55e-15,9999999.0,9999999.0,18.53,9999999.0,9999999.0,9999999.0,9999999.0,15.26,14.182,11.391,9999999.0,9999999.0,9999999.0,9999999.0,19.11,9999999.0
96,AGN,1.1e-14,1.68e-14,1.91e-14,3.82e-14,9999999.0,9999999.0,17.79,9999999.0,9999999.0,9999999.0,9999999.0,14.761,13.899,10.463,9999999.0,9999999.0,9999999.0,9999999.0,17.68,17.93
97,AGN,7.18e-15,8.64e-15,1.61e-14,3.82e-14,9999999.0,9999999.0,19.66,9999999.0,9999999.0,9999999.0,9999999.0,16.212,15.024,12.388,9999999.0,9999999.0,9999999.0,9999999.0,20.75,9999999.0
98,AGN,1.92e-14,2.58e-14,1.91e-14,5.47e-14,21.244,20.993,20.754,20.519,9999999.0,9999999.0,9999999.0,15.837,15.107,12.094,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,20.748
99,AGN,8.22e-15,6.04e-15,7.65e-15,9.91e-15,9999999.0,9999999.0,19.81,9999999.0,9999999.0,9999999.0,9999999.0,16.406,15.37,12.189,9999999.0,9999999.0,9999999.0,9999999.0,19.94,9999999.0
100,AGN,6.03e-16,7.01e-15,3.63e-14,1.44e-13,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0
101,AGN,9.7e-16,2.51e-15,3.12e-16,2.82e-14,18.18,16.786,16.04,15.336,15.586,14.927,14.251,13.3,12.758,10.263,9999999.0,9999999.0,9999999.0,9999999.0,14.27,15.603
102,AGN,1.24e-15,5.97e-15,1.2e-14,1.92e-14,19.346,19.291,19.176,19.527,9999999.0,9999999.0,9999999.0,16.044,14.419,11.868,9999999.0,9999999.0,9999999.0,9999999.0,18.95,19.351
103,AGN,5.99e-14,4.93e-14,4.33e-14,6.68e-14,20.235,19.392,18.348,17.613,16.727,15.912,15.091,13.807,12.874,10.195,9999999.0,9999999.0,9999999.0,9999999.0,18.48,17.841
104,AGN,9.92e-15,2.33e-14,1.46e-14,7.53e-14,19.593,18.9,17.979,17.256,16.299,15.511,14.777,14.214,13.556,10.847,9999999.0,9999999.0,9999999.0,9999999.0,18.81,17.477
105,AGN,1.96e-14,1.95e-14,2.26e-14,2.4e-14,20.763,20.021,19.19,18.587,9999999.0,9999999.0,9999999.0,15.374,14.881,11.73,9999999.0,9999999.0,9999999.0,9999999.0,20.07,18.803
106,AGN,1.86e-15,1.37e-15,1.9e-15,1.62e-15,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0
107,AGN,5.2e-14,5.26e-14,8.72e-14,2.32e-13,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0
